股票代码,股票名称,19年EPS,20年EPS,21年EPS,22年EPS,报告日期,研究机构,研究员,研报
sz000651,格力电器,--,4.14,4.51,--,2020-04-15,海通证券,陈子仪/刘璐/朱默辰/李阳,摘要
sh600323,瀚蓝环境,1.19,1.35,1.74,2.03,2020-04-15,申港证券,曹旭特,摘要
sh603686,龙马环卫,0.65,1.0,1.0,1.00,2020-04-15,山西证券,张婉姝,摘要
sz002600,领益智造,--,0.44,0.55,--,2020-04-15,广发证券,许兴军/王亮/彭雾,摘要
sz002594,比 亚 迪,--,0.93,1.43,--,2020-04-15,华创证券,张程航,摘要
sh600933,爱 柯 迪,0.52,0.55,0.68,0.80,2020-04-15,天风证券,邓学/娄周鑫,摘要
sz002382,蓝帆医疗,0.51,0.78,0.93,1.08,2020-04-15,光大证券,刘晓波/王琦,摘要
sz300065,海 兰 信,0.26,0.27,0.35,--,2020-04-15,中金公司,黄乐平/尹会伟,摘要
sh600323,瀚蓝环境,1.19,1.43,1.65,1.86,2020-04-15,兴业证券,蔡屹,摘要
sz300034,钢研高纳,0.35,0.36,0.42,0.47,2020-04-15,华泰证券,李斌/王宗超/何亮/邱乐园/江翰博,摘要
sh601636,旗滨集团,0.52,0.55,0.67,0.77,2020-04-15,华泰证券,方晏荷/鲍荣富/张雪蓉,摘要
sz002191,劲嘉股份,0.60,0.67,0.79,0.91,2020-04-15,华泰证券,陈羽锋/倪娇娇,摘要
sz002025,航天电器,0.94,1.08,1.28,1.53,2020-04-15,华泰证券,王宗超/何亮,摘要
sz002025,航天电器,0.94,1.08,1.26,1.49,2020-04-15,方正证券,孟祥杰,摘要
sz002859,洁美科技,0.46,1.16,1.56,2.01,2020-04-15,兴业证券,谢恒/代凯燕/姚康,摘要
sz002460,赣锋锂业,--,0.91,0.94,--,2020-04-15,中信建投证券,赵鑫/胡英粲/李木森,摘要
sh600754,锦江酒店,1.14,0.46,1.23,1.47,2020-04-15,东吴证券,汤军,摘要
sh600919,江苏银行,1.18,1.26,1.36,--,2020-04-15,广发证券,倪军/屈俊/万思华,摘要
sz000656,金科股份,1.05,1.34,1.68,2.10,2020-04-15,中达证券,申思聪/蔡鸿飞/诸葛莲昕,摘要
sh603396,金辰股份,--,0.94,1.22,--,2020-04-15,世纪证券,赵晓闯,摘要
sh603686,龙马环卫,0.65,0.8,0.96,1.12,2020-04-15,海通证券,佘炜超/戴元灿/杨震,摘要
sz000651,格力电器,--,3.49,4.18,--,2020-04-15,中信证券,纪敏/汪浩,摘要
sz002938,鹏鼎控股,1.27,1.39,1.77,2.11,2020-04-15,华创证券,耿琛,摘要
sh600323,瀚蓝环境,1.19,1.35,1.67,1.80,2020-04-15,天风证券,郭丽丽/石家骏,摘要
sz000651,格力电器,--,3.87,4.3,--,2020-04-15,华西证券,汪玲,摘要
sh600167,联美控股,--,0.88,0.98,--,2020-04-15,广发证券,郭鹏/许洁,摘要
sz300138,晨光生物,--,0.5,0.62,--,2020-04-15,长城证券,刘鹏/苏剑晓,摘要
sz002191,劲嘉股份,0.60,0.75,0.9,1.07,2020-04-15,光大证券,黎泉宏,摘要
sh600557,康缘药业,0.86,1.03,1.27,1.48,2020-04-15,西南证券,朱国广/陈进,摘要
sh601966,玲珑轮胎,1.41,1.52,1.73,1.98,2020-04-15,银河证券,王婷,摘要
sh600933,爱 柯 迪,0.52,0.51,0.6,0.67,2020-04-15,西南证券,宋伟健,摘要
sh600795,国电电力,0.09,0.16,0.23,0.27,2020-04-15,申万宏源研究,刘晓宁/王璐/查浩/邹佩轩,摘要
sz002373,千方科技,0.69,0.79,0.95,1.19,2020-04-15,中信证券,杨泽原/顾海波/刘雯蜀,摘要
sz000656,金科股份,1.05,1.31,1.65,2.07,2020-04-15,华创证券,袁豪,摘要
sz002191,劲嘉股份,0.60,0.68,0.78,0.90,2020-04-15,东吴证券,史凡可/马莉/傅嘉成,摘要
sz002191,劲嘉股份,0.60,0.68,0.8,0.91,2020-04-15,中银国际,杨志威/刘凯娜,摘要
sh603258,电魂网络,--,1.63,2.19,--,2020-04-15,民生证券,刘欣/张昱/钟奇,摘要
sz002459,晶澳科技,1.27,1.05,1.31,1.60,2020-04-15,新时代证券,开文明,摘要
sz002594,比 亚 迪,--,0.65,1.28,--,2020-04-15,新时代证券,开文明,摘要
sh603489,八方股份,3.50,2.69,4.3,5.40,2020-04-15,天风证券,邹润芳,摘要
sz002191,劲嘉股份,0.60,0.68,0.82,0.97,2020-04-15,东北证券,唐凯,摘要
sh600933,爱 柯 迪,0.52,0.48,0.57,0.72,2020-04-15,华西证券,崔琰,摘要
sh601966,玲珑轮胎,1.41,1.43,1.9,2.23,2020-04-15,长城证券,孙志东/张玉龙,摘要
sh600406,国电南瑞,--,1.15,1.29,--,2020-04-15,华泰证券,黄斌/孙纯鹏,摘要
sh601319,中国人保,0.51,0.38,0.42,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601336,新华保险,4.67,4.52,4.96,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601601,中国太保,3.06,3.04,3.77,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601318,中国平安,8.41,7.69,8.86,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601628,中国人寿,2.05,1.75,2.02,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sz300575,中旗股份,1.13,2.32,2.76,--,2020-04-15,中金公司,,
sh600933,爱 柯 迪,0.52,0.57,0.69,0.79,2020-04-15,国泰君安,吴晓飞/徐伟东/陈麟瓒,摘要
sz000625,长安汽车,--,0.84,1.42,--,2020-04-15,国盛证券,程似骐,摘要
sh600104,上汽集团,2.19,1.98,2.09,2.20,2020-04-15,银河证券,李泽晗,摘要
sh600323,瀚蓝环境,1.19,1.33,1.6,1.80,2020-04-15,国泰君安,徐强/邵潇,摘要
sh601636,旗滨集团,0.52,0.53,0.67,0.80,2020-04-15,国泰君安,鲍雁辛/赵晨阳,摘要
sz002153,石基信息,--,0.41,0.53,--,2020-04-15,粤开证券,陈诤娴,摘要
sh600323,瀚蓝环境,1.19,1.42,1.71,1.96,2020-04-15,平安证券,庞文亮,摘要
sz002705,新宝股份,--,1.02,1.27,--,2020-04-15,申万宏源研究,刘正/史晋星/周海晨,摘要
sh603866,桃李面包,1.04,1.18,1.39,1.66,2020-04-15,申万宏源研究,吕昌,摘要
sz002117,东港股份,0.49,0.57,0.64,0.72,2020-04-15,申万宏源研究,屠亦婷/周海晨/柴程森,摘要
sh603866,桃李面包,1.04,1.2,1.4,1.60,2020-04-15,民生证券,于杰/熊航,摘要
sz002373,千方科技,0.69,0.85,1.02,1.17,2020-04-15,民生证券,强超廷/郭新宇,摘要
sh600867,通化东宝,0.40,0.47,0.58,--,2020-04-15,中金公司,,
sz002191,劲嘉股份,0.6,0.66,0.76,0.86,2020-04-15,中泰证券,,
sz000555,神州信息,0.39,0.47,0.58,0.71,2020-04-15,民生证券,强超廷/郭新宇,摘要
sz002739,万达电影,--,0.69,0.83,--,2020-04-15,西部证券,李艳丽,摘要
sz000651,格力电器,--,3.53,4.28,--,2020-04-15,国盛证券,鞠兴海/马王杰,摘要
sh600201,生物股份,0.20,0.39,0.62,0.85,2020-04-15,华创证券,王莺,摘要
sz300738,奥飞数据,0.88,1.63,1.78,--,2020-04-15,华泰证券,王林/付东,摘要
sh603881,数 据 港,0.52,0.7,1.34,--,2020-04-15,华泰证券,王林/付东,摘要
sz300383,光环新网,--,0.77,1.00,--,2020-04-15,华泰证券,王林/付东,摘要
sh601200,上海环境,0.67,0.78,0.91,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sh601330,绿色动力,0.36,0.49,0.63,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sh603568,伟明环保,--,1.17,1.38,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sh603588,高能环境,--,0.84,1.10,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sh603686,龙马环卫,0.65,0.63,0.67,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sz002034,旺能环境,--,1.25,1.51,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sh600323,瀚蓝环境,1.19,1.24,1.39,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sz000967,盈峰环境,--,0.51,0.59,--,2020-04-15,国泰君安,徐强/邵潇,摘要
sz002352,顺丰控股,1.32,1.41,--,--,2020-04-15,中信证券,刘正/扈世民,摘要
sz002120,韵达股份,--,1.31,--,--,2020-04-15,中信证券,刘正/扈世民,摘要
sh600233,圆通速递,--,0.77,--,--,2020-04-15,中信证券,刘正/扈世民,摘要
sh603638,艾迪精密,--,1.07,1.40,--,2020-04-15,申万宏源研究,韩强/李蕾/刘建伟,摘要
sh601100,恒立液压,--,1.72,2.01,--,2020-04-15,申万宏源研究,韩强/李蕾/刘建伟,摘要
sh600031,三一重工,--,1.52,1.67,--,2020-04-15,申万宏源研究,韩强/李蕾/刘建伟,摘要
sz000425,徐工机械,--,0.6,0.66,--,2020-04-15,申万宏源研究,韩强/李蕾/刘建伟,摘要
sz000157,中联重科,0.58,0.54,0.65,--,2020-04-15,申万宏源研究,韩强/李蕾/刘建伟,摘要
sh603136,天 目 湖,--,1.37,--,--,2020-04-15,中金公司,何伟,摘要
sz002707,众信旅游,--,0.11,--,--,2020-04-15,中金公司,何伟,摘要
sz300144,宋城演艺,--,0.87,--,--,2020-04-15,中金公司,何伟,摘要
sz002059,云南旅游,--,0.4,--,--,2020-04-15,中金公司,何伟,摘要
sz002033,丽江股份,0.37,0.32,--,--,2020-04-15,中金公司,何伟,摘要
sh600138,中 青 旅,0.78,0.66,--,--,2020-04-15,中金公司,何伟,摘要
sh600054,黄山旅游,--,0.49,--,--,2020-04-15,中金公司,何伟,摘要
sz000978,桂林旅游,0.15,0.21,--,--,2020-04-15,中金公司,何伟,摘要
sz000888,峨眉山Ａ,--,0.38,--,--,2020-04-15,中金公司,何伟,摘要
sh600406,国电南瑞,--,1.15,1.29,--,2020-04-15,华泰证券,黄斌/孙纯鹏,摘要
sh603605,珀 莱 雅,1.96,2.38,3.13,--,2020-04-15,国元证券,李典,摘要
sh603983,丸美股份,--,1.36,1.56,--,2020-04-15,国元证券,李典,摘要
sh600315,上海家化,0.83,0.72,0.86,--,2020-04-15,国元证券,李典,摘要
sh603939,益丰药房,1.44,1.87,2.42,3.15,2020-04-15,国盛证券,张金洋/缪牧一,摘要
sz300777,中简科技,0.36,0.57,1.11,1.37,2020-04-15,天风证券,杨诚笑/彭鑫/李辉,摘要
sh603365,水星家纺,1.19,1.31,1.47,1.66,2020-04-15,天风证券,范张翔,摘要
sz002126,银轮股份,--,0.47,0.56,--,2020-04-15,东方证券,姜雪晴,摘要
sh688051,佳华科技,2.12,2.14,3.01,4.06,2020-04-15,天风证券,沈海兵,摘要
sh601966,玲珑轮胎,1.41,1.48,1.72,1.83,2020-04-15,东方证券,倪吉,摘要
sh600845,宝信软件,--,1.29,1.68,--,2020-04-15,兴业证券,蒋佳霖/孙乾,摘要
sh600377,宁沪高速,--,0.49,0.91,--,2020-04-15,招商证券,苏宝亮/肖欣晨,摘要
sz300662,科锐国际,--,1.03,1.33,--,2020-04-15,长江证券,赵刚,摘要
sz300124,汇川技术,--,0.89,1.1,--,2020-04-15,长江证券,邬博华/赵智勇/马军,摘要
sz002001,新 和 成,--,2.01,2.47,--,2020-04-15,长江证券,马太/施航,摘要
sz300724,捷佳伟创,--,1.99,2.58,--,2020-04-15,长江证券,赵智勇/臧雄,摘要
sh600449,宁夏建材,1.61,2.26,2.65,2.99,2020-04-15,长江证券,范超/李金宝,摘要
sh600886,国投电力,--,0.85,0.87,--,2020-04-15,长江证券,张韦华,摘要
sz002648,卫星石化,1.20,1.2,3.76,4.19,2020-04-15,长江证券,叶如祯,摘要
sz300012,华测检测,--,0.33,0.4,--,2020-04-15,长江证券,徐科/罗松/任楠,摘要
sz002035,华帝股份,--,0.96,1.1,--,2020-04-15,长江证券,管泉森/孙珊/徐春,摘要
sh600138,中 青 旅,0.78,0.65,0.86,1.00,2020-04-15,长江证券,赵刚,摘要
sh600104,上汽集团,2.19,1.9,2.59,2.86,2020-04-15,长江证券,高登/高伊楠/邓晨亮,摘要
sz002555,三七互娱,1.00,1.38,1.68,1.95,2020-04-15,长江证券,王傲野,摘要
sz002258,利尔化学,0.59,0.79,1.04,--,2020-04-15,中信建投证券,郑勇/邓天泽,摘要
sh603533,掌阅科技,0.40,0.68,0.96,1.33,2020-04-15,招商证券,顾佳/谢笑妍,摘要
sh603345,安井食品,1.67,1.75,2.32,3.13,2020-04-15,兴业证券,赵国防,摘要
sz300496,中科创达,0.59,0.8,1.04,1.36,2020-04-15,兴业证券,蒋佳霖/孙乾,摘要
sh603345,安井食品,1.67,1.74,2.32,2.99,2020-04-15,华鑫证券,万蓉,摘要
sh603345,安井食品,1.67,1.92,2.52,--,2020-04-15,东莞证券,黄秀瑜,摘要
sh603359,东珠生态,--,1.55,1.93,--,2020-04-15,东莞证券,何敏仪,摘要
sz002709,天赐材料,--,0.82,1.05,--,2020-04-15,招商证券,游家训,摘要
sz300559,佳发教育,0.77,1.13,1.43,1.69,2020-04-15,招商证券,顾佳/刘玉萍/赵雅楠,摘要
sz002035,华帝股份,--,0.8,0.93,--,2020-04-15,方正证券,靳晓雪,摘要
sh603489,八方股份,3.50,3.38,4.67,6.28,2020-04-15,兴业证券,石康/张亚滨/黄艳/李博彦,摘要
sz002025,航天电器,0.94,1.09,1.26,1.45,2020-04-15,兴业证券,石康/李博彦,摘要
sz300059,东方财富,0.28,0.39,0.51,0.61,2020-04-15,长城证券,刘文强/张永,摘要
sz002212,南洋股份,--,0.56,0.75,--,2020-04-15,华创证券,陈宝健,摘要
sz000717,韶钢松山,0.75,0.68,0.75,0.81,2020-04-15,广发证券,李莎,摘要
sz300607,拓 斯 达,--,2.95,3.29,--,2020-04-15,广发证券,罗立波/代川,摘要
sh600104,上汽集团,2.19,1.97,2.35,2.59,2020-04-15,广发证券,张乐/闫俊刚/李爽/刘智琪/邓崇静,摘要
sh600104,上汽集团,2.19,2.03,2.38,--,2020-04-15,长城证券,孙志东/刘佳/刘欣畅,摘要
sh603899,晨光文具,1.15,1.31,1.84,2.25,2020-04-15,山西证券,杨晶晶,摘要
sz001914,招商积余,0.41,0.58,0.81,1.13,2020-04-15,华泰证券,陈慎/刘璐/韩笑,摘要
sh600567,山鹰纸业,--,0.48,0.56,--,2020-04-15,华泰证券,陈羽锋/倪娇娇,摘要
sz000090,天健集团,0.60,0.82,0.93,1.08,2020-04-15,华泰证券,鲍荣富/陈慎/方晏荷/韩笑,摘要
sz000768,中航飞机,0.21,0.22,0.24,0.27,2020-04-15,兴业证券,石康/李博彦,摘要
sh600740,山西焦化,0.31,0.54,0.64,0.67,2020-04-15,光大证券,菅成广,摘要
sh600567,山鹰纸业,--,0.34,0.4,--,2020-04-15,国盛证券,严大林/黄莎,摘要
sz002821,凯 莱 英,2.42,3.15,3.96,4.99,2020-04-15,万联证券,姚文/王政眸,摘要
sh603127,昭衍新药,1.11,1.47,1.89,2.43,2020-04-15,万联证券,姚文/王政眸,摘要
sz002959,小熊电器,--,2.94,3.68,--,2020-04-15,天风证券,蔡雯娟,摘要
sz002938,鹏鼎控股,1.27,1.37,1.54,1.74,2020-04-15,国盛证券,郑震湘,摘要
sz002434,万 里 扬,--,0.56,0.63,--,2020-04-15,中信证券,陈俊斌/尹欣驰,摘要
sz002724,海 洋 王,0.36,0.41,0.55,0.64,2020-04-15,东北证券,张世杰/程雅琪,摘要
sz002025,航天电器,0.94,1.12,1.38,1.75,2020-04-15,天风证券,,
sh603866,桃李面包,1.04,1.25,1.5,--,2020-04-15,开源证券,任浪/孙金钜/张宇光,摘要
sz300496,中科创达,0.59,0.85,1.22,1.74,2020-04-15,华泰证券,谢春生/郭雅丽/郭梁良,摘要
sh600567,山鹰纸业,--,0.35,0.45,--,2020-04-15,东吴证券,史凡可/马莉/傅嘉成,摘要
sz000561,烽火电子,0.15,0.17,0.22,0.26,2020-04-15,中航证券,张超/宋博/王宏涛,摘要
sh600741,华域汽车,2.05,2.21,2.33,--,2020-04-15,银河证券,李泽晗,摘要
sh603899,晨光文具,1.15,1.28,1.56,1.93,2020-04-15,光大证券,朱悦,摘要
sz001914,招商积余,0.41,0.62,0.83,1.10,2020-04-15,川财证券,陈雳,摘要
sz300559,佳发教育,0.77,1.11,1.5,--,2020-04-15,银河证券,吴砚靖/邹文倩,摘要
sz002100,天康生物,--,2.31,1.5,--,2020-04-15,银河证券,谢芝优,摘要
sh603899,晨光文具,1.15,1.46,1.87,2.40,2020-04-15,华创证券,郭庆龙/陈梦,摘要
sz000656,金科股份,1.05,1.31,1.6,1.91,2020-04-15,华泰证券,陈慎/刘璐/韩笑,摘要
sz300463,迈克生物,--,1.18,1.42,--,2020-04-15,华泰证券,代雯,摘要
sh603899,晨光文具,1.15,1.32,1.62,1.94,2020-04-15,华泰证券,陈羽锋/倪娇娇,摘要
sh603018,中设集团,1.16,1.43,1.78,2.19,2020-04-15,安信证券,苏多永,摘要
sz002025,航天电器,0.94,1.09,1.32,1.64,2020-04-15,东北证券,陈鼎如/刘中玉,摘要
sh600104,上汽集团,2.19,1.71,2.4,--,2020-04-15,中金公司,常菁,摘要
sh601958,金钼股份,0.18,0.11,0.17,0.20,2020-04-15,国泰君安,,
sh601818,光大银行,0.68,0.75,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601288,农业银行,0.59,0.62,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601939,建设银行,1.05,1.09,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601169,北京银行,--,1.07,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601009,南京银行,--,1.66,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sz002142,宁波银行,--,3.06,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601328,交通银行,1.00,1.04,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601998,中信银行,0.95,1.0,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601166,兴业银行,--,3.4,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601398,工商银行,0.86,0.9,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh601988,中国银行,0.61,0.63,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh600036,招商银行,3.62,4.11,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh600000,浦发银行,--,2.25,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sz000001,平安银行,1.54,1.59,--,--,2020-04-14,广发证券,倪军/屈俊/王先爽,摘要
sh600048,保利地产,--,2.71,3.28,--,2020-04-14,华西证券,由子沛/侯希得,摘要
sz000961,中南建设,--,1.93,2.43,--,2020-04-14,华西证券,由子沛/侯希得,摘要
sz000656,金科股份,1.05,1.36,1.62,--,2020-04-14,华西证券,由子沛/侯希得,摘要
sz000002,万 科Ａ,3.47,4.15,4.95,--,2020-04-14,华西证券,由子沛/侯希得,摘要
sh601899,紫金矿业,0.18,0.13,0.18,--,2020-04-14,华创证券,任志强,摘要
sh600362,江西铜业,0.71,0.64,0.75,--,2020-04-14,华创证券,任志强,摘要
sz000758,中色股份,--,0.1,0.14,--,2020-04-14,华创证券,任志强,摘要
sz300575,中旗股份,1.13,2.31,2.75,--,2020-04-14,中金公司,,
sh601766,中国中车,0.41,0.44,0.49,0.55,2020-04-14,平安证券,吴文成/胡小禹/严晓情/郭子睿,摘要
sh601186,中国铁建,1.40,1.65,1.84,2.03,2020-04-14,平安证券,吴文成/胡小禹/严晓情/郭子睿,摘要
sh600528,中铁工业,0.73,0.92,1.07,1.20,2020-04-14,平安证券,吴文成/胡小禹/严晓情/郭子睿,摘要
sh603638,艾迪精密,--,1.32,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh601100,恒立液压,--,1.7,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh600984,建设机械,--,1.09,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh600031,三一重工,--,1.61,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sz000425,徐工机械,--,0.64,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sz000157,中联重科,0.58,0.73,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh603638,艾迪精密,--,1.32,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh601100,恒立液压,--,1.7,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh600984,建设机械,--,1.09,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh600031,三一重工,--,1.61,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sz000425,徐工机械,--,0.64,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sz000157,中联重科,0.58,0.73,--,--,2020-04-14,广发证券,代川/罗立波,摘要
sh601658,邮储银行,0.72,0.78,0.89,--,2020-04-14,东北证券,刘辰涵/陈玉卢,摘要
sh600036,招商银行,3.62,4.23,4.87,--,2020-04-14,东北证券,刘辰涵/陈玉卢,摘要
sz000001,平安银行,1.54,1.64,1.86,--,2020-04-14,东北证券,刘辰涵/陈玉卢,摘要
sh601100,恒立液压,--,1.74,--,--,2020-04-14,西南证券,倪正洋/丁逸朦,摘要
sh600031,三一重工,--,1.51,--,--,2020-04-14,西南证券,倪正洋/丁逸朦,摘要
sz000425,徐工机械,--,0.58,--,--,2020-04-14,西南证券,倪正洋/丁逸朦,摘要
sz000157,中联重科,0.58,0.69,--,--,2020-04-14,西南证券,倪正洋/丁逸朦,摘要
sh600350,山东高速,--,0.37,0.63,--,2020-04-14,浙商证券,姜楠,摘要
sh603899,晨光文具,1.15,1.33,1.68,2.08,2020-04-14,长城证券,张潇/林彦宏/邹文婕,摘要
sz001914,招商积余,0.41,0.56,0.75,0.94,2020-04-14,东吴证券,齐东/陈鹏,摘要
sz002624,完美世界,--,1.86,2.23,--,2020-04-14,天风证券,文浩/张爽,摘要
sh600104,上汽集团,2.19,1.76,1.98,2.17,2020-04-14,华泰证券,林志轩/刘千琳,摘要
sz000488,晨鸣纸业,0.33,0.49,0.59,0.72,2020-04-14,东吴证券,史凡可/马莉/傅嘉成,摘要
sh600104,上汽集团,2.19,1.93,2.23,2.57,2020-04-14,西南证券,宋伟健,摘要
sh603899,晨光文具,1.15,1.47,1.85,2.33,2020-04-14,西南证券,蔡欣,摘要
sh603345,安井食品,1.67,1.69,2.11,2.50,2020-04-14,华金证券,陈振志,摘要
sh603345,安井食品,1.67,1.69,2.51,3.29,2020-04-14,广发证券,王永锋/王文丹,摘要
sz000656,金科股份,1.05,1.35,1.65,1.98,2020-04-14,东吴证券,齐东/陈鹏,摘要
sz000656,金科股份,1.05,1.43,1.80,2.21,2020-04-14,海通证券,金晶/涂力磊,摘要
sz002624,完美世界,--,1.79,2.02,--,2020-04-14,申万宏源研究,林起贤/袁伟嘉,摘要
sh603345,安井食品,1.67,1.69,2.32,2.69,2020-04-14,申万宏源研究,吕昌,摘要
sz000656,金科股份,1.05,1.31,1.65,2.07,2020-04-14,华创证券,袁豪,摘要
sh600877,*ST 电能,0.12,0.12,0.24,0.32,2020-04-14,中信建投证券,黎韬扬/鲍学博,摘要
sh601899,紫金矿业,0.18,0.18,0.24,0.33,2020-04-14,长江证券,王鹤涛/肖勇,摘要
sz300059,东方财富,0.28,0.46,0.64,0.77,2020-04-14,长江证券,周晶晶/徐一洲,摘要
sh600395,盘江股份,0.66,0.57,0.68,0.73,2020-04-14,华金证券,杨立宏,摘要
sh603345,安井食品,1.67,1.6,2.28,2.78,2020-04-14,国泰君安,訾猛/方勇,摘要
sz002064,华峰氨纶,--,0.36,0.59,--,2020-04-14,中金公司,,
sh603345,安井食品,1.67,1.72,2.32,3.07,2020-04-14,国元证券,李典,摘要
sh603489,八方股份,3.50,3.25,4.52,6.18,2020-04-14,东吴证券,曾朵红/柴嘉辉,摘要
sz000656,金科股份,1.05,1.32,1.58,1.83,2020-04-14,兴业证券,阎常铭/郭毅/徐鸥鹭/靳璐瑜,摘要
sh600104,上汽集团,2.19,1.92,2.34,2.74,2020-04-14,中银国际,朱朋,摘要
sh603899,晨光文具,1.15,1.31,1.68,2.06,2020-04-14,中银国际,杨志威/刘凯娜,摘要
sz002698,博实股份,--,0.43,0.53,--,2020-04-14,国泰君安,黄琨/李阳东,摘要
sh603365,水星家纺,1.19,1.14,1.3,1.33,2020-04-14,兴业证券,赵树理,摘要
sh603587,地素时尚,1.56,1.36,1.52,1.68,2020-04-14,兴业证券,赵树理,摘要
sz002624,完美世界,--,1.85,2.06,--,2020-04-14,国元证券,李典/路璐,摘要
sz002261,拓维信息,0.02,0.08,0.11,0.15,2020-04-14,民生证券,强超廷,摘要
sz000488,晨鸣纸业,0.33,0.66,0.77,0.84,2020-04-14,东北证券,唐凯,摘要
sz002035,华帝股份,--,0.99,1.13,--,2020-04-14,华创证券,龚源月,摘要
sz300130,新 国 都,0.51,0.71,0.96,1.25,2020-04-14,国盛证券,刘高畅/杨然,摘要
sz002185,华天科技,--,0.19,0.26,--,2020-04-14,中银国际,赵琦/王达婷,摘要
sz002798,帝欧家居,1.49,1.91,2.49,3.20,2020-04-14,中信证券,孙明新/陈中亮,摘要
sz300496,中科创达,0.59,0.84,1.18,1.64,2020-04-14,广发证券,刘雪峰/王奇珏,摘要
sz002967,广电计量,0.66,0.91,1.37,2.12,2020-04-14,万联证券,王思敏/徐益彬/贺潇翔宇,摘要
sz002001,新 和 成,--,1.8,2.18,--,2020-04-14,申万宏源研究,宋涛,摘要
sz000400,许继电气,0.42,0.7,0.9,0.95,2020-04-14,申万宏源研究,韩启明/张雷,摘要
sz002938,鹏鼎控股,1.27,1.42,1.74,2.05,2020-04-14,国金证券,樊志远,摘要
sz002609,捷顺科技,--,0.36,0.49,--,2020-04-14,国泰君安,刘易/张旭,摘要
sh603345,安井食品,1.67,1.82,2.48,3.07,2020-04-14,华泰证券,贺琪/李晴/张晋溢,摘要
sz002288,超华科技,--,0.14,0.2,--,2020-04-14,国金证券,樊志远,摘要
sz300416,苏试试验,0.65,0.94,1.29,1.73,2020-04-14,东北证券,刘军/朱宇航,摘要
sh600741,华域汽车,2.05,1.86,2.05,2.19,2020-04-14,东北证券,李恒光,摘要
sz002938,鹏鼎控股,1.27,1.37,1.61,1.90,2020-04-14,新时代证券,吴吉森,摘要
sz300685,艾德生物,0.94,0.83,1.15,1.55,2020-04-14,国元证券,常启辉,摘要
sz002185,华天科技,--,0.18,0.28,--,2020-04-14,天风证券,,
sz002429,兆驰股份,0.25,0.29,0.33,0.39,2020-04-14,广发证券,曾婵/袁雨辰/王朝宁,摘要
sh603899,晨光文具,1.15,1.31,1.63,2.05,2020-04-14,中泰证券,,
sh600380,健 康 元,0.46,0.55,0.67,0.80,2020-04-14,兴业证券,黄翰漾/徐佳熹,摘要
sh601888,中国国旅,--,1.96,2.8,--,2020-04-14,东方证券,王克宇,摘要
sh603605,珀 莱 雅,1.96,2.4,3.17,3.99,2020-04-14,国金证券,吴劲草,摘要
sz002959,小熊电器,--,2.81,3.41,--,2020-04-14,国盛证券,鞠兴海/马王杰,摘要
sz300496,中科创达,0.59,0.87,1.22,1.72,2020-04-14,国盛证券,刘高畅,摘要
sh600104,上汽集团,2.19,2.2,2.52,2.91,2020-04-14,天风证券,邓学/文康,摘要
